,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali
185 days,1074.0,3696.0,2304.0,,,,,
186 days,,,,,,,,
187 days,,,,,,,,
188 days,,3834.0,2437.0,,,,,
189 days,,,,,,,,
190 days,1157.0,,,,,,,
191 days,,3924.0,,,,,,
192 days,,,2789.0,,,,,
193 days,1199.0,,,,,,,
194 days,,4076.0,,,,,,
195 days,,,2950.0,,,,,
196 days,,,,,,,,
197 days,1298.0,,,,,,,
198 days,,4249.0,,,,,,
199 days,1350.0,,3252.0,,,,,
200 days,,4262.0,,,,,,
201 days,,,3410.0,,,,,
202 days,,,,,,,,
203 days,,,,,,,,
204 days,1472.0,,,,,,,
205 days,,4665.0,,,,,,
206 days,1519.0,,3706.0,,,,,
207 days,,,,,,,,
208 days,,,,,,,,
209 days,,,3896.0,,,,,
210 days,,,,,,,,
211 days,1540.0,,,,,,,
212 days,,6535.0,,,,,,
213 days,1553.0,,,,,,,
214 days,,,5235.0,,,,,
215 days,,,,,,,,
216 days,,,5338.0,,,,,
217 days,,,,,,,,
218 days,,6525.0,,,,,,
219 days,1906.0,,,,,,,
220 days,,,4759.0,,,,,
221 days,1667.0,,,,,,,
222 days,,6619.0,4862.0,,,,,
223 days,,,,,,,,
224 days,,,,,,,,
225 days,1731.0,,,,,,,
226 days,1760.0,6822.0,,,,,,
227 days,,,5368.0,,,,,
228 days,,6878.0,,,,,,
229 days,,,5586.0,,,,,
230 days,,,,,,,,
231 days,,,,,,,,
232 days,1878.0,,,,,,,
233 days,,7069.0,,,,,,
234 days,1919.0,,6073.0,,,,,
235 days,,,,,,,,
236 days,,7082.0,6190.0,,,,,
237 days,,,,,,,,
238 days,,,,,,,,
239 days,1971.0,,,,,,,
240 days,,7168.0,,,,,,
241 days,2047.0,,6599.0,,,,,
242 days,,,,,,,,
243 days,,,,,,,,
244 days,,,,,,,,
245 days,,,,,,,,
246 days,2134.0,7635.0,,,,,,
247 days,,,,,,,,
248 days,,,7312.0,,,,,
249 days,,,,,,,,
250 days,,,,,,,,
251 days,,7719.0,,,,,,
252 days,,,,,,,,
253 days,2164.0,,,,,,,
254 days,,,,,,,,
255 days,,,7897.0,,,,,
256 days,,,,,,,,
257 days,,7797.0,,,,,,
258 days,,,,,,,,
259 days,,,,,,,,
260 days,2292.0,,,,,,,
261 days,,,,,,,,
262 days,,,8356.0,,,,,
263 days,,,,,,,,
264 days,,,,,,,,
265 days,,,,,,,,
266 days,,7830.0,,,,,,
267 days,2416.0,,,,,,,
268 days,,7862.0,8939.0,,,,,
269 days,,,9004.0,,,,,
270 days,,,,,,,,
271 days,,,,,,,,
272 days,,7977.0,9203.0,,,,,
273 days,2571.0,,,,,,,
274 days,2597.0,,,,,,,
275 days,,,9409.0,,,,,
276 days,,8018.0,9446.0,,,,,
277 days,2630.0,,,,,,,
278 days,,,,,,,,
279 days,,8115.0,9633.0,,,,,
280 days,2695.0,,,,,,,
281 days,2706.0,8157.0,,,,,,
282 days,,8166.0,9722.0,,,,,
283 days,,,9780.0,,,,,
284 days,2730.0,,10030.0,,,,,
285 days,,,,,,,,
286 days,,,,,,,,
287 days,2769.0,,,,,,,
288 days,2775.0,,,,,,,
289 days,2776.0,,,,,,,
