,title,artist,last_wk,peak_pos,wks_on_chart
39,Sand In My Boots,Morgan Wallen,38,30,37
40,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,44,41,28
41,The Motto,Tiesto & Ava Max,51,42,9
42,Beers On Me,"Dierks Bentley, Breland & HARDY",45,40,14
43,She's All I Wanna Be,Tate McRae,48,44,8
44,Love Nwantiti (Ah Ah Ah),CKay,39,26,28
45,Numb Little Bug,Em Beihold,49,46,9
46,Boyfriend,Dove Cameron,42,42,7
47,Wasted On You,Morgan Wallen,-,9,20
48,Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),50,49,2
49,23,Sam Hunt,53,50,14
50,Ahhh Ha,Lil Durk,28,18,6
51,Circles Around This Town,Maren Morris,60,52,12
52,Peru,Fireboy DML & Ed Sheeran,54,53,9
53,To The Moon!,JNR CHOI & Sam Tompkins,64,54,5
54,Slow Down Summer,Thomas Rhett,52,52,6
55,Thinking With My Dick,Kevin Gates Featuring Juicy J,43,37,3
56,Broadway Girls,Lil Durk Featuring Morgan Wallen,47,14,15
57,We Go Up,Nicki Minaj & Fivio Foreign,-,58,1
58,Make Up Sex,Machine Gun Kelly X blackbear,-,59,1
59,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",55,20,13
60,Heart On Fire,Eric Church,59,56,19
61,To Be Loved By You,Parker McCollum,58,41,18
62,Handsomer,Russ Featuring Ktlyn,56,40,4
63,If I Was A Cowboy,Miranda Lambert,70,64,9
64,Dos Oruguitas,Sebastian Yatra,74,36,13
65,Me Or Sum,"Nardo Wick, Lil Baby & Future",65,58,12
66,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,69,67,12
67,Maybe,Machine Gun Kelly & Bring Me The Horizon,91,68,2
68,Do We Have A Problem?,Nicki Minaj X Lil Baby,63,2,8
69,Nail Tech,Jack Harlow,66,18,6
70,Flower Shops,ERNEST Featuring Morgan Wallen,67,67,10
71,Freaky Deaky,Tyga X Doja Cat,71,43,5
72,X Ultima Vez,Daddy Yankee & Bad Bunny,-,73,1
73,Envolver,Anitta,-,74,1
74,Rumors,Gucci Mane Featuring Lil Durk,76,51,9
75,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,73,27,13
76,Over,Lucky Daye,92,77,2
77,Tom's Diner,AnnenMayKantereit & Giant Rooks,84,78,2
78,P Power,Gunna Featuring Drake,77,24,11
79,Chaotic,Tate McRae,-,80,1
80,Give Heaven Some Hell,HARDY,83,81,5
81,Banking On Me,Gunna,89,61,6
82,Petty Too,Lil Durk Featuring Future,62,26,3
83,Emo Girl,Machine Gun Kelly & WILLOW,-,77,2
84,High,The Chainsmokers,75,57,9
85,Pressure,Ari Lennox,81,66,14
86,Blick Blick!,Coi Leray & Nicki Minaj,37,37,2
87,Ay!,Machine Gun Kelly & Lil Wayne,-,82,2
88,Sigue,J Balvin & Ed Sheeran,-,89,1
89,I Love You So,The Walters,85,71,11
90,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,86,53,20
91,Bones,Imagine Dragons,87,87,3
92,By Your Side,Rod Wave,88,58,18
93,Trouble With A Heartbreak,Jason Aldean,-,88,2
94,No Interviews,Lil Durk,68,30,3
95,Closer,Saweetie Featuring H.E.R.,96,89,7
96,Come Back As A Country Boy,Blake Shelton,90,85,9
97,She Likes It,Russell Dickerson & Jake Scott,98,98,2
98,Money So Big,Yeat,95,95,2
99,Beautiful Lies,Yung Bleu & Kehlani,82,65,10
