,title,artist,last_wk,peak_pos,wks_on_chart
0,Heat Waves,Glass Animals,1,1,63
1,Stay,The Kid LAROI & Justin Bieber,2,1,38
2,Big Energy,Latto,11,3,23
3,Super Gremlin,Kodak Black,3,3,21
4,Enemy,Imagine Dragons X JID,7,5,19
5,Ghost,Justin Bieber,5,5,27
6,abcdefu,GAYLE,4,3,19
7,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",6,1,14
8,Thats What I Want,Lil Nas X,8,8,28
9,Woman,Doja Cat,9,9,35
10,Bad Habits,Ed Sheeran,12,2,40
11,Easy On Me,Adele,10,1,25
12,Shivers,Ed Sheeran,13,4,29
13,Cold Heart (PNAU Remix),Elton John & Dua Lipa,14,7,30
14,Levitating,Dua Lipa,16,2,73
15,Need To Know,Doja Cat,15,8,42
16,Save Your Tears,The Weeknd & Ariana Grande,17,1,65
17,'Til You Can't,Cody Johnson,18,18,25
18,One Right Now,Post Malone & The Weeknd,20,6,21
19,Soy El Unico,Yahritza y Su Esencia,-,20,1
20,Industry Baby,Lil Nas X & Jack Harlow,21,1,36
21,Pushin P,Gunna & Future Featuring Young Thug,19,7,12
22,I Hate U,SZA,23,7,17
23,Hrs And Hrs,Muni Long,24,16,14
24,What Happened To Virgil,Lil Durk Featuring Gunna,22,22,3
25,MAMIII,Becky G X Karol G,26,15,7
26,Good 4 U,Olivia Rodrigo,27,1,46
27,Doin' This,Luke Combs,30,28,16
28,No Love,Summer Walker & SZA,-,13,13
29,Light Switch,Charlie Puth,29,27,10
30,Fingers Crossed,Lauren Spencer-Smith,32,19,13
31,Sweetest Pie,Megan Thee Stallion & Dua Lipa,25,15,3
32,You Right,Doja Cat & The Weeknd,31,11,39
33,Bam Bam,Camila Cabello Featuring Ed Sheeran,34,23,4
34,Buy Dirt,Jordan Davis Featuring Luke Bryan,33,22,34
35,Never Say Never,Cole Swindell / Lainey Wilson,40,36,11
36,Fancy Like,Walker Hayes,36,3,41
37,AA,Walker Hayes,41,38,12
38,Surface Pressure,Jessica Darrow,35,8,14
