,title,artist,last_wk,peak_pos,wks_on_chart
82,By Your Side,Rod Wave,87,58,13
83,Freedom Was A Highway,Jimmie Allen & Brad Paisley,66,45,20
84,The Motto,Tiesto & Ava Max,91,85,4
85,Don't Play That,King Von & 21 Savage,68,40,3
86,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,93,87,7
87,Flower Shops,ERNEST Featuring Morgan Wallen,92,68,5
88,Good Morning Gorgeous,Mary J. Blige,83,83,2
89,When I'm Gone,Alesso / Katy Perry,-,90,2
90,Poppin,Yeat,-,91,1
91,Come Back As A Country Boy,Blake Shelton,97,85,6
92,Iffy,Chris Brown,98,71,6
93,Home Sweet,Russell Dickerson,99,88,6
94,Pray,Jessie Murph,-,95,1
95,Closer,Saweetie Featuring H.E.R.,89,89,2
96,Cold December,Rod Wave,90,38,6
97,Get Into It (Yuh),Doja Cat,94,68,17
98,All Too Well (Taylor's Version),Taylor Swift,96,1,15
99,Give Heaven Some Hell,HARDY,-,100,1
