,title,artist,last_wk,peak_pos,wks_on_chart
0,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,9
1,Heat Waves,Glass Animals,2,2,58
2,abcdefu,GAYLE,4,3,14
3,Easy On Me,Adele,3,1,20
4,Super Gremlin,Kodak Black,6,5,16
5,Stay,The Kid LAROI & Justin Bieber,5,1,33
6,Ghost,Justin Bieber,8,7,22
7,Shivers,Ed Sheeran,7,4,24
8,Bad Habits,Ed Sheeran,14,2,35
9,Cold Heart (PNAU Remix),Elton John & Dua Lipa,12,7,25
10,Thats What I Want,Lil Nas X,9,9,23
11,Need To Know,Doja Cat,13,8,37
12,Surface Pressure,Jessica Darrow,11,8,9
13,Pushin P,Gunna & Future Featuring Young Thug,10,7,7
14,Industry Baby,Lil Nas X & Jack Harlow,17,1,31
15,Levitating,Dua Lipa,16,2,68
16,MAMIII,Becky G X Karol G,15,15,2
17,Nail Tech,Jack Harlow,-,18,1
18,Save Your Tears,The Weeknd & Ariana Grande,18,1,60
19,Enemy,Imagine Dragons X JID,27,20,14
20,Big Energy,Latto,25,21,18
21,One Right Now,Post Malone & The Weeknd,22,6,16
22,Hrs And Hrs,Muni Long,19,16,9
23,Woman,Doja Cat,26,24,30
24,'Til You Can't,Cody Johnson,33,25,20
25,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",24,20,8
26,Good 4 U,Olivia Rodrigo,30, 1,41
27,I Hate U,SZA,28,7,12
28,Light Switch,Charlie Puth,48,29,5
29,Sand In My Boots,Morgan Wallen,38,30,32
30,Buy Dirt,Jordan Davis Featuring Luke Bryan,39,22,29
31,Knife Talk,Drake Featuring 21 Savage & Project Pat,31,4,25
32,You Right,Doja Cat & The Weeknd,45,11,34
33,Love Nwantiti (Ah Ah Ah),CKay,36,26,23
34,Fancy Like,Walker Hayes,41,3,36
35,One Mississippi,Kane Brown,54,36,22
36,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,43,21,24
37,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,42,27,8
38,Fingers Crossed,Lauren Spencer-Smith,49,19,8
39,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),35,5,16
40,Essence,Wizkid Featuring Justin Bieber & Tems,47,9,33
41,Ahhh Ha,Lil Durk,-,42,1
42,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,23,23,7
43,Do We Have A Problem?,Nicki Minaj X Lil Baby,32,2,3
44,Oh My God,Adele,29,5,14
45,Dos Oruguitas,Sebastian Yatra,50,36,8
46,You Should Probably Leave,Chris Stapleton,44,28,34
47,Sacrifice,The Weeknd,53,11,7
48,Doin' This,Luke Combs,62,49,11
49,Better Days,NEIKED X Mae Muller X Polo G,52,23,19
50,To Be Loved By You,Parker McCollum,51,48,13
51,Beers On Me,"Dierks Bentley, Breland & HARDY",58,52,9
52,AA,Walker Hayes,59,53,7
53,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",46,46,2
54,Never Say Never,Cole Swindell / Lainey Wilson,79,55,6
55,23,Sam Hunt,55,53,9
56,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,56,53,15
57,Heart On Fire,Eric Church,61,56,14
58,Broadway Girls,Lil Durk Featuring Morgan Wallen,65,14,10
59,Waiting On A Miracle,Stephanie Beatriz,57,48,8
60,Banking On Me,Gunna,-,61,1
61,She's All I Wanna Be,Tate McRae,67,52,3
62,Me Or Sum,"Nardo Wick, Lil Baby & Future",64,63,7
63,The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,21,21,2
64,Boyfriend,Dove Cameron,73,65,2
65,Rumors,Gucci Mane Featuring Lil Durk,71,51,4
66,Pressure,Ari Lennox,72,66,9
67,Numb Little Bug,Em Beihold,85,68,4
68,High,The Chainsmokers,77,57,4
69,Peru,Fireboy DML & Ed Sheeran,76,70,4
70,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",69,17,20
71,Bussin,Nicki Minaj X Lil Baby,20,20,2
72,Worst Day,Future,34,34,2
73,Beautiful Lies,Yung Bleu & Kehlani,78,74,5
74,P Power,Gunna Featuring Drake,63,24,6
75,Circles Around This Town,Maren Morris,82,63,7
76,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",74,71,6
77,Cigarettes,Juice WRLD,70,43,3
78,If I Was A Cowboy,Miranda Lambert,84,79,4
79,I Love You So,The Walters,81,71,6
80,Scorpio,Moneybagg Yo,86,66,14
81,Do It To It,Acraze Featuring Cherish,80,65,10
